	16S_136_Nobel	16S_20_Rawson	16S_49_Turjeman	16S_96_Quagliariello
16S_136_Nobel	1.0	0.5303571428571427	0.5263333333333333	0.48548523206751054
16S_20_Rawson	0.6193269230769232	1.0	0.5606666666666666	0.6520675105485232
16S_49_Turjeman	0.5695192307692307	0.6607142857142856	1.0	0.7702109704641351
16S_96_Quagliariello	0.3446153846153846	0.7607142857142857	0.8450000000000001	1.0
