	16S_136_Nobel	16S_20_Rawson	16S_49_Turjeman	16S_96_Quagliariello
16S_136_Nobel	0.9892307692307692	0.7321428571428572	0.774	0.4923206751054853
16S_20_Rawson	0.5411538461538462	1.0	0.5640000000000001	0.6416877637130802
16S_49_Turjeman	0.7034615384615385	0.6892857142857143	0.998	0.6577215189873418
16S_96_Quagliariello	0.2894230769230769	0.4892857142857142	0.834	0.9132489451476793
