"Metric","Mean_Log2_All","SE_Log2_All","N_FALSE","Mean_Log2_FALSE","SD_Log2_FALSE","N_TRUE","Mean_Log2_TRUE","SD_Log2_TRUE","Coef_Diagnosed_Celiac","SE_Diagnosed_Celiac","P_Diagnosed_Celiac","Significance","Study"
"observed",6.48602791700004,0.202573231838494,8,6.41119155970878,0.891085108450623,8,6.56086427429131,0.774668873253864,0.441223439698929,0.230334832740486,0.07767565868998,"ns","16S_80_Garcia"
"shannon",2.11726382447041,0.0351735962591252,8,2.04846113930079,0.116239340017965,8,2.18606650964002,0.134483992012069,0.175467618567558,0.0451121274728771,0.00186250117114768,"Significant","16S_80_Garcia"
"fisher",3.54799092192679,0.182932609479186,8,3.45843885378441,0.779515271302744,8,3.63754299006917,0.722062515369381,0.433352214708391,0.223718871625296,0.0747783478619594,"ns","16S_80_Garcia"
"bulla",0.52696254498719,0.0217937388162074,8,0.48579487910746,0.0889042040898548,8,0.56813021086692,0.0671330900138573,0.0571673531724014,0.0260863954189694,0.0472320001652571,"Significant","16S_80_Garcia"
"simpson",0.237152636355518,0.0276510818778607,8,0.210683653125921,0.123205921772379,8,0.263621619585115,0.0971244795345997,0.0242076912410513,0.0455758249266714,0.604270396204532,"ns","16S_80_Garcia"
"dominance",0.102875869300389,0.00909514877764688,8,0.122478245642103,0.0348254297849271,8,0.0832734929586739,0.0272959731703045,-0.047440123226834,0.0127114788882173,0.00251177118618869,"Significant","16S_80_Garcia"
"rare_abundance",0.0490466782030918,0.00977163485096411,8,0.0549156574868703,0.039356106015172,8,0.0431776989193133,0.0405725508695955,0.00107493719368356,0.0131654109142664,0.936169864193463,"ns","16S_80_Garcia"
