"Metric","TE_random","seTE_random","z_random","p_random","ci_lower","ci_upper","tau2","I2"
"observed",0.131366486978782,0.192958341570307,0.680802321940129,0.495996580646726,-0.246824913015598,0.509557886973161,0,0
"shannon",0.121321945389176,0.313943181309864,0.386445550060954,0.69916672107931,-0.493995383170085,0.736639273948437,0.162974021289161,0.547021979139416
"fisher",0.0779483500363875,0.19285443271315,0.404182309630016,0.68607866147406,-0.30003939234029,0.455936092413064,0,0
"bulla",0.00720337371242559,0.427474424608317,0.016851005107559,0.986555479469894,-0.830631102831859,0.84503785025671,0.40562376223139,0.718015092348966
"simpson",-0.0449896177160077,0.344980001037014,-0.130412248770272,0.896240276233222,-0.721137995135146,0.63115875970313,0.225249685775526,0.655023149360764
"dominance",-0.191937844420792,0.357132846656273,-0.537441028507594,0.590963009247956,-0.891905361563352,0.508029672721768,0.243538505269991,0.604890853953171
"rare_abundance",0.0703608234618714,0.193060161362493,0.364450246831404,0.71552182000613,-0.308030139658106,0.448751786581849,0,0
