"Metric","Mean_Log2_All","SE_Log2_All","N_FALSE","Mean_Log2_FALSE","SD_Log2_FALSE","N_TRUE","Mean_Log2_TRUE","SD_Log2_TRUE","Coef_Diagnosed_Celiac","SE_Diagnosed_Celiac","P_Diagnosed_Celiac","Significance","Study"
"observed",5.94027800093708,0.224437264389572,27,5.90776286414775,1.42801372193832,16,5.99514729426909,1.58903467941773,-0.119213544936438,0.308318062244675,0.701059023877946,"ns","16S_102_Bodkhe"
"shannon",1.74838693333237,0.116853739624358,27,1.74965189903164,0.700449221601164,16,1.74625230371486,0.890845642867012,-0.0717713428176253,0.217486935080126,0.743119810895,"ns","16S_102_Bodkhe"
"fisher",2.88482966656552,0.189226940616954,27,2.85417958622933,1.1983043682677,16,2.93655167713284,1.34820150751637,-0.0903527483313638,0.262903463281256,0.732892424412069,"ns","16S_102_Bodkhe"
"bulla",0.454163941392475,0.0321490200237916,27,0.45958759859353,0.197062254663532,16,0.445011519865695,0.238719095173341,-0.02467263019559,0.0660272660219371,0.710620665835957,"ns","16S_102_Bodkhe"
"simpson",0.232044683354502,0.0191467632873461,27,0.22037578841818,0.122521992804522,16,0.251735943559546,0.132134786944585,0.0296655380556833,0.0403376782756627,0.466368203061769,"ns","16S_102_Bodkhe"
"dominance",0.307255157124868,0.0506494466864586,27,0.30717008931681,0.313005269708055,16,0.307398709050965,0.372896009853207,0.0251769901408099,0.0984045139451516,0.799376317120358,"ns","16S_102_Bodkhe"
"rare_abundance",0.0424044331050035,0.00547304066051548,27,0.040362538660338,0.0352436015294432,16,0.0458501299803765,0.0378592159500195,-0.000139790476189639,0.0060252441394373,0.981605456912156,"ns","16S_102_Bodkhe"
