"Metric","Mean_Log2_All","SE_Log2_All","N_FALSE","Mean_Log2_FALSE","SD_Log2_FALSE","N_TRUE","Mean_Log2_TRUE","SD_Log2_TRUE","Coef_Diagnosed_Celiac","SE_Diagnosed_Celiac","P_Diagnosed_Celiac","Significance","Study"
"observed",5.20103008772394,0.0911932391194845,19,5.11528811022188,0.813769103126768,40,5.24175752703742,0.647125123657766,0.0569882655357897,0.194889594933889,0.771051493460061,"ns","16S_119_Salamon"
"shannon",1.6204519641353,0.0353561246011588,19,1.66638201137159,0.296111624416293,40,1.59863519169806,0.260191828110613,-0.061813627174453,0.0776783874157463,0.429529820207096,"ns","16S_119_Salamon"
"fisher",2.40988971845386,0.0814771953049793,19,2.39120037265372,0.726538581669408,40,2.41876715770893,0.581902772957323,-0.0117700165811704,0.178215905705609,0.947578346803679,"ns","16S_119_Salamon"
"bulla",0.40740234152358,0.014756179757257,19,0.453204749181598,0.139338019357528,40,0.385646197886022,0.0929376408894234,-0.0552174824440819,0.0300696530251897,0.0716206681905818,"ns","16S_119_Salamon"
"simpson",0.206992106025374,0.0159257042743816,19,0.258217148227211,0.170111490440919,40,0.182660210979501,0.083741808000521,-0.0618635155070977,0.0322581689450299,0.0602463057411563,"ns","16S_119_Salamon"
"dominance",0.302349454771864,0.0179929742328164,19,0.282614881732952,0.149111924012843,40,0.311723376965348,0.133659501751904,0.0233881652299034,0.039452931438271,0.555693564500038,"ns","16S_119_Salamon"
"rare_abundance",0.0159053776400604,0.00167555533932846,19,0.0148703942819069,0.0151344329741638,40,0.0163969947351832,0.0118259567049537,-1.34473380649168e-05,0.00353367425932819,0.996977195270166,"ns","16S_119_Salamon"
