"metric","beta","se","p","n"
"log2_Firmicutes",-0.138202108279662,0.0966586912448099,0.15426901606528,215
"log2_Proteobacteria",0.934261226039628,0.733139088521208,0.203961534085113,215
"log2_Bacteroidota",0.454593760507372,0.199953857235639,0.0240126761885219,215
