"metric","beta","se","p","study","n"
"log2_Firmicutes",0.083576858853668,0.136849946622526,0.552777524809097,"16S_20_Rawson",15
"log2_Proteobacteria",2.93482985048569,4.2636400357429,0.504329141384884,"16S_20_Rawson",15
"log2_Bacteroidota",0.140495552266429,0.851285908893579,0.871660726590639,"16S_20_Rawson",15
