	Streptococcus	Escherichia-Shigella	Pseudomonas	Akkermansia	Turicibacter	Acinetobacter	Halomonas	Prevotella_7	Veillonella	Blautia	Neisseria	Haemophilus	Staphylococcus	Alloprevotella	Fusobacterium	Gemella	Prevotella	Bacteroides	Ligilactobacillus	Lacticaseibacillus	Actinobacillus	Rothia	Megasphaera	[Ruminococcus] torques group	Actinomyces	Clostridium sensu stricto 1	Ruminococcus	Bifidobacterium	Subdoligranulum	Dialister	Porphyromonas	Stenotrophomonas	Roseburia	Leptotrichia	Dorea	Cutibacterium	Anaerostipes	[Ruminococcus] gnavus group	Lachnoanaerobaculum	Afipia	Campylobacter	Faecalibacterium	Incertae Sedis	Methylobacterium-Methylorubrum	Enterococcus	Corynebacterium	Atopobium	Granulicatella	Parvimonas	Paracoccus	Lactobacillus	Helicobacter	Peptostreptococcus	Bacillus	Selenomonas	Shewanella	Solobacterium	Achromobacter	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	TM7x	Barnesiella	Paeniclostridium	Rikenellaceae RC9 gut group	[Clostridium] innocuum group	[Eubacterium] nodatum group	Mogibacterium	Capnocytophaga	Aggregatibacter	Enhydrobacter	[Eubacterium] brachy group	Lawsonella	Micrococcus
SRR5514924	-0.0010338102160639853	-0.000936219459402035	0.0016989094593833907	-0.0013423417406530768	-0.000989257083703452	-0.0009576744724193995	-0.0009491210989868409	-0.0006955239153284669	0.0016989094593833907	-0.0012054324461135042	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0010283064781684156	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0009996541381364825	0.0016989094593833907	-0.0008897725315979316	-0.0010202360097254096	-0.0009355496469814442	-0.0009544184790860727	-0.0008583480859763854	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0009820680147192178	0.0016989094593833907	-0.0009984519219197671	-0.0008460888617991959	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0008784589950457818	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0008181103323920902	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.0008003909382777919	0.0016989094593833907	0.0016989094593833907	-0.0008379922944447193	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	0.0016989094593833907	-0.000687530195497756	0.0016989094593833907	-0.0005491779355684575	0.0016989094593833907
SRR5514925	-0.00047577571354967665	0.0015926509182493727	-0.001059249946490246	-0.0008298060094768901	0.0015926509182493727	-0.0010553434035682104	0.0015926509182493727	-0.0005913743016585524	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	-0.0005556816624558073	-0.0007298950115275765	0.0015926509182493727	-0.0006528256177278355	0.0015926509182493727	0.0015926509182493727	-0.0006642488087784055	-0.0006785495878485867	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	-0.0006030417707443843	-0.0006695621878006319	-0.0005999174625306667	0.0015926509182493727	-0.00089334125496531	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	-0.0006392475991367714	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	-0.0007505020449980869	0.0015926509182493727	0.0015926509182493727	-0.0004413654670817509	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727	0.0015926509182493727
SRR5514926	0.0015379392670017962	-0.0005320108630074325	0.0015379392670017962	-0.0007388579459820675	0.0015379392670017962	0.0015379392670017962	-0.00045578144029422067	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962	0.0015379392670017962
SRR5514929	-0.000908695154262497	-0.0009328535354371626	0.0016854893632802556	-0.0013352661832980019	-0.0010304518688606856	0.0016854893632802556	-0.0008936666221915701	0.0016854893632802556	0.0016854893632802556	-0.0011891758466759177	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0010910899226881888	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0010488684670951721	0.0016854893632802556	-0.0010593918385751184	-0.0010183753491444874	-0.000913843001348534	-0.0009695288232804409	-0.0008260348764572561	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0009619625901567937	-0.0007894361697596881	-0.0009476562034221598	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0008620033346483102	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0008413952485272756	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0008292110548547473	0.0016854893632802556	0.0016854893632802556	-0.000846113726290601	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	0.0016854893632802556	-0.0004995091718375162	0.0016854893632802556	-0.0006523459873273177	0.0016854893632802556
SRR5514930	0.0015534482256342333	-0.000527506097379253	0.0015534482256342333	-0.0007137152453758835	0.0015534482256342333	0.0015534482256342333	-0.0004927252953246809	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	-0.0004968647442639172	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	-0.0006524037213120982	-0.0005401753304210296	0.0015534482256342333	-0.0004793056677517295	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	-0.00044428706038766755	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	-0.00027940870800526453	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333	0.0015534482256342333
SRR5514931	-0.0010607407111306436	-0.0009614815214809086	-0.0007098601570816727	-0.0013722816172725613	-0.001076841713136292	-0.0008149513662737348	-0.0009206752946135549	-0.0008196872793755594	0.001728630650336476	-0.0012163837291222146	0.001728630650336476	-0.0008008159486005113	-0.0007461777109347107	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.001100695249743171	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.0007518374804296635	-0.0010777085631728262	0.001728630650336476	-0.001003351326856338	-0.0009869139079352624	-0.0010037625084907244	-0.0009734383546887717	-0.0009289298144400692	0.001728630650336476	0.001728630650336476	-0.0007706411591434246	0.001728630650336476	-0.000995138747038909	-0.0008595979749754448	-0.0009121793707755044	-0.000924368344835235	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.0007102893940664475	-0.000898863567533111	0.001728630650336476	0.001728630650336476	-0.0007153285633343965	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.0008780476232323314	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.0008914322378404102	0.001728630650336476	0.001728630650336476	-0.0008394846559201711	0.001728630650336476	0.001728630650336476	0.001728630650336476	0.001728630650336476	-0.0006483574993898412	0.001728630650336476	-0.0006310457521173597	0.001728630650336476
SRR5514938	-0.001036366765311899	-0.0009117347782417602	0.001776997044988815	-0.0011393014429076469	-0.0009171999903881635	-0.0011593743467190009	-0.0009199486743687639	-0.0010152015431191383	-0.0006925717137517301	-0.0010642097871819511	-0.0007070641116338586	0.001776997044988815	0.001776997044988815	-0.0007224478319145517	0.001776997044988815	0.001776997044988815	-0.0009141807690304667	-0.00099303153223915	0.001776997044988815	-0.0010030720445803269	0.001776997044988815	0.001776997044988815	-0.0010160631838672775	-0.0010065091479287195	-0.0007044010075035798	-0.0009815801928529846	-0.0009424390351086914	0.001776997044988815	-0.0009619398161606019	-0.0009775247369936916	0.001776997044988815	-0.0013372842731561466	0.001776997044988815	0.001776997044988815	-0.0008418847033257822	-0.0007340675568404105	-0.0008483712879054613	-0.0007820212854350425	0.001776997044988815	0.001776997044988815	0.001776997044988815	-0.0009333291520168685	-0.0008046354345831102	-0.0007793446338989612	0.001776997044988815	0.001776997044988815	0.001776997044988815	0.001776997044988815	0.001776997044988815	0.001776997044988815	0.001776997044988815	-0.0009096784926584827	0.001776997044988815	-0.0009398767325452731	0.001776997044988815	-0.0007860773122511572	0.001776997044988815	-0.0007585115987968838	-0.0007117230113219609	0.001776997044988815	-0.0007407291534562269	0.001776997044988815	-0.0007527298013859374	0.001776997044988815	0.001776997044988815	0.001776997044988815	-0.0006328243565728163	0.001776997044988815	-0.0006136213685147748	0.001776997044988815	-0.0005668069282926646	0.001776997044988815
SRR5514949	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	-0.0007543927734799925	0.0015647779794380197	-0.0007906855134332176	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	-0.0005018449768680863	0.0015647779794380197	0.0015647779794380197	-0.0005789960420385242	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	-0.0005303094536240825	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	-0.0006072328557373427	0.0015647779794380197	-0.0006406112467426638	0.0015647779794380197	-0.0006830499285818834	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	0.0015647779794380197	-0.0005887942870598109	0.0015647779794380197	0.0015647779794380197	-0.0005313533541559396	-0.0005628930173324801	0.0015647779794380197	0.0015647779794380197
SRR5514957	-0.0009712448627903778	-0.0008863629673940429	-0.0007464879353534943	-0.0012729564283856202	-0.0009728533053200945	0.0016671135061617614	-0.0008450578039378436	-0.0005756770806148884	0.0016671135061617614	-0.0011715811696845404	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0010052537274845264	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0009819371087910235	0.0016671135061617614	-0.0009846583101273077	-0.0008623037977698854	-0.0008873714631973983	-0.0008413823005299296	-0.0007975481866009827	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0008763792102572869	-0.0007462393879965043	-0.0008522958988652686	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0007863070599321975	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0007551108670399179	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0007403767713503856	0.0016671135061617614	0.0016671135061617614	-0.0007553418139030913	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	0.0016671135061617614	-0.0006131715380294941	0.0016671135061617614
SRR5514958	-0.0011098024096361362	-0.001024945488998673	-0.0010933109695343926	-0.001300773034627312	-0.001023847132713095	-0.0011020281014996714	-0.0010548979238336079	-0.001089615646541344	0.0018186356400242125	-0.0012374620907209756	-0.0008170165075816123	0.0018186356400242125	0.0018186356400242125	-0.0009557551353578846	0.0018186356400242125	0.0018186356400242125	-0.0009724976333725932	-0.0011144276726798884	0.0018186356400242125	-0.000977688733907047	0.0018186356400242125	0.0018186356400242125	-0.00103403116588779	-0.0010578697396794493	-0.000814605992347333	-0.0010928220353194165	-0.001037705469921152	-0.001028079857006792	-0.0010684620198325413	-0.001102453718803487	-0.0004680161997740469	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.0008723228162296674	-0.0009141004549264417	-0.0010353516122085522	-0.0009148599026312639	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.0009315511568261643	-0.0009797862733596319	-0.0004680161997740469	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.000835090893553675	-0.0010011528386080714	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.0008896168892890552	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.0009281727702821871	0.0018186356400242125	-0.0009412985838500536	-0.0009075953153635082	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	0.0018186356400242125	-0.0007625763067311273	0.0018186356400242125	-0.0006323880587423235	-0.0007976062374820631
