	16S_136_Nobel	16S_20_Rawson	16S_49_Turjeman	16S_96_Quagliariello
16S_136_Nobel	0.9925	0.7392857142857143	0.7793333333333333	0.49367088607594933
16S_20_Rawson	0.5549999999999999	1.0	0.5313333333333333	0.6459071729957806
16S_49_Turjeman	0.7155769230769231	0.7107142857142856	0.998	0.6578902953586498
16S_96_Quagliariello	0.3080769230769231	0.5214285714285715	0.7606666666666667	0.8141772151898735
