	16S_102_Bodkhe	16S_49_Turjeman	16S_60_Shi
16S_102_Bodkhe	1.0	0.705925925925926	0.6662222222222223
16S_49_Turjeman	0.5620300751879699	1.0	0.7522222222222222
16S_60_Shi	0.6914786967418547	0.7292592592592593	1.0
