	16S_102_Bodkhe	16S_49_Turjeman	16S_60_Shi
16S_102_Bodkhe	1.0	0.5903703703703703	0.5897777777777777
16S_49_Turjeman	0.6223057644110275	1.0	0.6304444444444445
16S_60_Shi	0.7047619047619047	0.6777777777777778	1.0
