"metric","beta","se","p","n"
"log2_Firmicutes",-0.597496690448859,0.539465382116563,0.27039877690828,118
"log2_Proteobacteria",0.2391793680646,0.240792313707377,0.322685294410332,118
"log2_Bacteroidota",-0.278906594620498,0.944231292746787,0.76824602805327,118
