"metric","beta","se","z","p","ci_lb","ci_ub","k"
"log2_Bacteroidota",0.698591325891218,0.936152178224582,0.746236928290976,0.455524304146887,-1.13623322747768,2.53341587926012,3
"log2_Firmicutes",-0.112652255542553,0.316266920785588,-0.356193607800435,0.721695578679438,-0.732524029783687,0.507219518698581,3
"log2_Proteobacteria",0.00270772441607781,0.279498622984447,0.00968779161473177,0.992270381550894,-0.545099510361978,0.550514959194134,3
