	16S_102_Bodkhe	16S_119_Salamon	16S_80_Garcia
16S_102_Bodkhe	0.9324074074074075	0.49263157894736836	0.415625
16S_119_Salamon	0.5921296296296297	0.7894736842105263	0.440625
16S_80_Garcia	0.5393518518518519	0.5326315789473683	0.99375
