"Metric","TE_random","seTE_random","z_random","p_random","ci_lower","ci_upper","tau2","I2"
"observed",0.00711823226012631,0.182762114436651,0.0389480734673467,0.968931788539028,-0.351088929774098,0.36532539429435,0,0
"shannon",0.227860625677177,0.183211111317606,1.24370527550684,0.213608053683277,-0.131226554072889,0.586947805427242,0,0
"fisher",0.00285396168664485,0.182711065239952,0.0156200812627127,0.987537485105866,-0.35525314576061,0.360961069133899,0,0
"bulla",0.22484515309584,0.214286514113733,1.04927346466844,0.294052275160713,-0.19514869693971,0.64483900313139,0.0239553181091415,0.257727609586914
"simpson",0.426617010465066,0.184920523836833,2.30702899609725,0.0210532036908967,0.0641794437425927,0.789054577187539,0,0
"dominance",-0.372608725004154,0.184271249701571,-2.02206652208414,0.0431694800102362,-0.733773737805421,-0.0114437122028869,0,0
"rare_abundance",-0.203270548687459,0.183226758309583,-1.10939335805969,0.26726052641764,-0.562388395978266,0.155847298603348,0,0
