"metric","beta","se","p","study","n"
"log2_Firmicutes",-0.202682301402888,0.0860915144102095,0.02202833829228,"16S_60_Shi",60
"log2_Proteobacteria",1.95963829903674,0.484326430884151,0.000158520577413424,"16S_60_Shi",60
"log2_Bacteroidota",-0.089971636231254,0.254249690451086,0.724741076168674,"16S_60_Shi",60
