"set","num_asvs_before_filter","num_asvs_after_filter"
"16S_49_Turjeman",1083,416
"16S_102_Bodkhe",2234,273
"16S_60_Shi",4919,458
"16S_49_Turjeman&&16S_102_Bodkhe",271,212
"16S_49_Turjeman&&16S_60_Shi",628,390
"16S_102_Bodkhe&&16S_60_Shi",433,245
