"","Num_ASVs_Discarded","Num_ASVs_Kept","Percent_ASVs_Discarded","Percent_ASVs_Kept"
"16S_68_Girdhar",0,986,0,100
"16S_1211_Milletich",13,15020,0.0864764185458658,99.9135235814541
