"Position","Frequency"
"1",1
"20",85
"21",11651
"22",20
"46",1
"48",1
"52",4
"56",1
"59",3
"282",2
"297",634
"298",2528
"299",3
"300",28
"301",63
"320",986
"339",3
"354",3
"764",1
"773",1
