"Metric","Mean_Log2_All","SE_Log2_All","N_FALSE","Mean_Log2_FALSE","SD_Log2_FALSE","N_TRUE","Mean_Log2_TRUE","SD_Log2_TRUE","Coef_Diagnosed_Celiac","SE_Diagnosed_Celiac","P_Diagnosed_Celiac","Significance","Study"
"observed",6.99584084838011,0.0664675010939025,30,7.03984238187251,0.463046980296515,10,6.8638362479029,0.221527502117581,-0.192594595747071,0.142675118746855,0.185254784787232,"ns","16S_49_Turjeman"
"shannon",2.15099903903586,0.0277148999958937,30,2.15665596870201,0.196666029572428,10,2.1340282500374,0.0899209978846109,-0.0211815706709976,0.0654588180682983,0.748073288740117,"ns","16S_49_Turjeman"
"fisher",4.29585947202455,0.0693600869409737,30,4.34697958188918,0.486357714785095,10,4.14249914243068,0.191925604571074,-0.211885344903441,0.15884398968211,0.190382845518322,"ns","16S_49_Turjeman"
"bulla",0.448902340823578,0.010590303081767,30,0.454310278137732,0.0687630734316473,10,0.432678528881116,0.061760386551459,-0.0178945783950051,0.0207788211859373,0.394678468503916,"ns","16S_49_Turjeman"
"simpson",0.195650345014807,0.0129387365936762,30,0.192011747083033,0.087642188971289,10,0.206566138810128,0.0639607853014889,0.0181795537504446,0.0275864766724748,0.513974887037731,"ns","16S_49_Turjeman"
"dominance",0.101260805597696,0.0128577756394655,30,0.10646813788466,0.0924798178894508,10,0.0856388087368035,0.0271334015584766,-0.021479816834466,0.0302296425411505,0.481815294096853,"ns","16S_49_Turjeman"
"rare_abundance",0.0734390229460741,0.00393167000188227,30,0.0756500696733747,0.0273400273073246,10,0.0668058827641725,0.0143412467625702,-0.00966233691009248,0.00871654181303038,0.274797183375441,"ns","16S_49_Turjeman"
