"Metric","TE_random","seTE_random","z_random","p_random","ci_lower","ci_upper","tau2","I2"
"observed",0.0400045692925754,0.31132013785214,0.128499780221655,0.897753472140485,-0.570171688559664,0.650180827144815,0.263222640792776,0.736700102722606
"shannon",0.190477923423223,0.268480260349267,0.709467143600911,0.478034633892423,-0.335733717421276,0.716689564267723,0.16785473368884,0.618651124578502
"fisher",0.00665086707324533,0.324076799570191,0.0205225029439506,0.983626561102134,-0.628527988309335,0.641829722455826,0.294558069005396,0.760239998911814
"bulla",0.136855118841839,0.197736098412181,0.692109938148798,0.488868291028174,-0.250700512489503,0.524410750173181,0.0464310570668265,0.216931730836826
"simpson",0.233788669014177,0.175617590382131,1.33123719842341,0.183110975161727,-0.110415483186506,0.577992821214861,0.0170372846131647,0.186842227946275
"dominance",-0.258484808621152,0.241717535710873,-1.06936721765332,0.284904233047844,-0.732242473046238,0.215272855803933,0.115491203989177,0.517978951078616
"rare_abundance",-0.18158708366467,0.315890330157922,-0.574842172515663,0.565398042130134,-0.800720753838665,0.437546586509324,0.272323256530346,0.740303148822145
