"","Num_ASVs_Discarded","Num_ASVs_Kept","Percent_ASVs_Discarded","Percent_ASVs_Kept"
"16S_49_Turjeman",0,1165,0,100
"16S_136_Nobel",19,19898,0.0953958929557664,99.9046041070442
"16S_96_Quagliariello",1,9834,0.0101677681748856,99.9898322318251
"16S_20_Rawson",0,1432,0,100
