	Bacteroides	Prevotella_9	Bifidobacterium	Blautia	Faecalibacterium	Escherichia-Shigella	Dorea	Subdoligranulum	Ruminococcus	Catenibacterium	Roseburia	[Ruminococcus] torques group	Streptococcus	Akkermansia	UCG-002	Agathobacter	Alistipes	Fusicatenibacter	Christensenellaceae R-7 group	Dialister	Megamonas	Holdemanella	Romboutsia	Anaerostipes	Incertae Sedis	Erysipelotrichaceae UCG-003	Clostridium sensu stricto 1	[Eubacterium] hallii group	Parabacteroides	Prevotella	Lactobacillus	Megasphaera	Collinsella	Ligilactobacillus	Phascolarctobacterium	CAG-352	Monoglobus	Coprococcus	Lachnospiraceae NK4A136 group	Butyricicoccus	Rikenellaceae RC9 gut group	Limosilactobacillus	NK4A214 group	[Eubacterium] ruminantium group	Prevotella_7	Lachnoclostridium	UCG-005	[Ruminococcus] gnavus group	Lachnospiraceae ND3007 group	[Eubacterium] eligens group	Turicibacter	Alloprevotella	Barnesiella	Lachnospira	Veillonella	[Eubacterium] ventriosum group	Paraprevotella	Intestinibacter	Erysipelatoclostridium	Sutterella	Tyzzerella	Odoribacter	UCG-003	Haemophilus	Family XIII AD3011 group	Parasutterella	Colidextribacter	Terrisporobacter	[Ruminococcus] gauvreauii group	CAG-56	Pseudomonas	[Eubacterium] siraeum group	Lactococcus	Flavonifractor	Lachnospiraceae UCG-010	Enterococcus	Intestinimonas	Lachnospiraceae UCG-004	UBA1819	Lachnospiraceae UCG-001
SRR5514980	-0.0012705383614086724	-0.001688308411931624	-0.001540371583979763	-0.00122232111430982	-0.001098371441979672	-0.0016975435265042483	0.0025817020038642236	-0.0012758778624358262	-0.0011711506535934495	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.0010376805719649218	-0.0012187823229243026	0.0025817020038642236	-0.0013228859304752424	0.0025817020038642236	-0.0010825394245330632	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.0014022413875023451	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.0015292821893483765	-0.0011540832201099832	-0.0012276378263325223	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.000922104268698835	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.001002738985621289	-0.0013887963224488151	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.0013921950459321317	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	-0.0013874639116541933	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236	0.0025817020038642236
SRR5514981	0.002581106140977508	-0.001660450755112106	-0.0014206111066876776	-0.0013739911888187924	0.002581106140977508	-0.001494302546572069	0.002581106140977508	-0.0016212091577404997	-0.0011858617315661417	-0.0017771644440321656	0.002581106140977508	-0.0013736322517396008	0.002581106140977508	-0.0013919823126518926	-0.0015811834953371653	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.0014235678717409593	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.0014555099708587747	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.0009336126414513934	0.002581106140977508	-0.0011997304482616645	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.000874747092146029	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.0011438450810837854	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.001217398799532032	-0.0011861886374973983	-0.001300378744165523	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	-0.0015606562327432928	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508	0.002581106140977508
SRR5514983	0.0024580914196764402	-0.0013654878219347892	-0.0013846630444270922	0.0024580914196764402	0.0024580914196764402	-0.0017338173608495526	0.0024580914196764402	-0.0013395559174807557	0.0024580914196764402	-0.0015259361990036158	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	-0.0009127248664898116	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	-0.0009029880706626684	-0.0007371572637721248	0.0024580914196764402	0.0024580914196764402	-0.001587661049273485	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	-0.0013787028158863466	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	-0.0016664643250729942	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	-0.0009400012914473594	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402	0.0024580914196764402
SRR5514984	-0.0008798276581524334	-0.0014108981045339922	-0.002083217997613379	-0.0014931041292867442	0.002580993805657006	-0.0013036598518107697	-0.0015873192693670823	-0.001254558262841659	0.002580993805657006	-0.0016692942890128408	0.002580993805657006	-0.0011624927461680453	-0.0012745131014229398	-0.0010506708597407515	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	-0.0014992543231005541	-0.0015223889148428139	0.002580993805657006	0.002580993805657006	0.002580993805657006	-0.0011288759727184907	0.002580993805657006	0.002580993805657006	-0.0010927624403322422	-0.001256585247222594	-0.001410013405669095	0.002580993805657006	-0.0012773406795679447	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	-0.0015193405256950588	0.002580993805657006	0.002580993805657006	-0.0009916829349922833	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	-0.0008546409251585655	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006	0.002580993805657006
SRR5514985	-0.001471353169209469	-0.001517077328381645	0.0026019599546617564	0.0026019599546617564	-0.0013827887624106056	0.0026019599546617564	-0.0013251610601916575	-0.001498360115312479	-0.0017338472922074873	0.0026019599546617564	-0.0014202715577770315	0.0026019599546617564	0.0026019599546617564	-0.0011883856635612978	-0.0011767322887782565	-0.0016098450568527542	-0.0009672564634986558	0.0026019599546617564	0.0026019599546617564	-0.0015119254151766887	0.0026019599546617564	-0.0014576830262429427	-0.0012913195963670174	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	-0.0009694592504884163	-0.0010274341316266569	0.0026019599546617564	-0.0010443573258952631	-0.00197849936817773	-0.0016212908004108496	0.0026019599546617564	-0.0012996569886461016	0.0026019599546617564	-0.00131248639280073	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	-0.0015368128699735787	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	-0.0011863197985181107	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564	0.0026019599546617564
SRR5514986	-0.001421855306506968	-0.0019402968079460002	-0.0018542251753871112	-0.0017987661225625541	0.0026387695954687763	-0.0011900251492854984	-0.0015964647755173987	-0.0016262527121465398	-0.0013030431974265662	-0.001832270664186207	-0.0014343915127568551	-0.0014612770295114347	0.0026387695954687763	-0.0010568802283425808	-0.0015626593650053758	-0.0016647062462187188	-0.0009062844694230876	0.0026387695954687763	0.0026387695954687763	-0.001379374343149419	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.0012587508772570891	-0.0014102270993412338	-0.0010100617134702558	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.001508954861092523	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.0012561090576563073	0.0026387695954687763	-0.0012704536362859844	0.0026387695954687763	-0.0016882510065736383	-0.0014018554606356891	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.0011305117594479878	0.0026387695954687763	0.0026387695954687763	-0.0011915232001963646	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.0013975913193731502	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	-0.0010913258941290323	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763	0.0026387695954687763
SRR5514987	-0.0016319862880119394	0.002526755568977669	-0.0011957778284634438	0.002526755568977669	0.002526755568977669	-0.0014908718217101578	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0008476579462705486	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0010526830433633734	0.002526755568977669	-0.0012420646042683504	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0010649923931923017	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0012060698638035605	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0009188309072828534	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0012508900854141184	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	0.002526755568977669	-0.0012678938824338714	0.002526755568977669
SRR5515006	-0.0014100661869124475	-0.0011928716016696432	-0.0014058648210386042	-0.0013064186955394693	0.0024398365857694554	0.0024398365857694554	-0.001204423490172758	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	-0.0012702812538240237	0.0024398365857694554	-0.0012799693094663201	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	-0.0012103012619908743	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	-0.0011246298876384476	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	-0.000886057947095231	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554	0.0024398365857694554
SRR5515007	-0.0009530787547003773	-0.0014761372169297183	-0.0016092426483834933	-0.0015528527506872567	-0.0015345698158485395	-0.001666757417865974	-0.0015471638296411692	-0.0014113750695404941	0.002563821330693773	-0.00169313450383319	0.002563821330693773	-0.0015335683777002603	-0.0013894365716513421	0.002563821330693773	-0.0012457607143952084	-0.0014467579498471177	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0019255588836725142	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0007717871269615874	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0014342868720660373	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0012852213186131437	-0.0008508579830759737	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0010566176223531778	0.002563821330693773	0.002563821330693773	-0.0012537057098060784	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	-0.0009697709504429718	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773	0.002563821330693773
SRR5515008	0.0025397891453397482	-0.0015276635719543299	-0.0013800833018964803	-0.0013815913995123424	0.0025397891453397482	-0.0013705527632317405	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0015807646551027682	0.0025397891453397482	0.0025397891453397482	-0.0014690184825378756	-0.0009546527723954046	-0.0008785752754094488	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0014069011851352716	0.0025397891453397482	0.0025397891453397482	-0.001286074146510742	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0012325131768578935	-0.001116444631417076	-0.0010067715294570089	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0013805873769817084	0.0025397891453397482	-0.0009515630178585645	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0010020974793519403	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	-0.0013003220964758891	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482	0.0025397891453397482
