	16S_102_Bodkhe	16S_119_Salamon	16S_80_Garcia
16S_102_Bodkhe	1.0	0.4828947368421054	0.7265625
16S_119_Salamon	0.4270833333333333	0.9684210526315787	0.5625
16S_80_Garcia	0.46296296296296297	0.47960526315789476	1.0
