	16S_102_Bodkhe	16S_119_Salamon	16S_80_Garcia
16S_102_Bodkhe	0.9393518518518519	0.4926315789473684	0.428125
16S_119_Salamon	0.5935185185185186	0.8336842105263159	0.41875
16S_80_Garcia	0.5217592592592594	0.5268421052631579	1.0
