"Metric","TE_random","seTE_random","z_random","p_random","ci_lower","ci_upper","tau2","I2"
"observed",-0.414774609605942,0.170717179338204,-2.42960088266361,0.0151154576683972,-0.749374132651087,-0.0801750865607964,0.00045684433173941,0
"shannon",-0.253597002804119,0.169135945866092,-1.4993678694705,0.133778224234713,-0.585097365192775,0.0779033595845365,0,0
"fisher",-0.421619254536456,0.187544226967815,-2.24810574739158,0.0245694476869337,-0.789199184901779,-0.0540393241711331,0.017104915360255,0.0448253340989027
"bulla",-0.0206780025269809,0.168324936347561,-0.12284574689685,0.902229247797645,-0.350588815468198,0.309232810414236,0,0
"simpson",-0.0550967939219877,0.168211831688014,-0.327544105364579,0.743256389727262,-0.384785925804009,0.274592337960033,0,0
"dominance",0.188104174013512,0.178489047269303,1.05386956169754,0.291942640284187,-0.161727930269189,0.537936278296213,0.00914786149414331,0.0402719920128835
"rare_abundance",-0.418507586307623,0.175536288951013,-2.38416562642734,0.0171178962257405,-0.762552390631425,-0.0744627819838211,0.00502824460532941,0
