"Metric","Mean_Log2_All","SE_Log2_All","N_FALSE","Mean_Log2_FALSE","SD_Log2_FALSE","N_TRUE","Mean_Log2_TRUE","SD_Log2_TRUE","Coef_Diagnosed_Celiac","SE_Diagnosed_Celiac","P_Diagnosed_Celiac","Significance","Study"
"observed",4.7995328339165,0.0730868704014472,38,4.92826140270552,0.462993808106569,21,4.56659542372685,0.654930080154132,-0.196930688533618,0.122766511876806,0.114316006676743,"ns","16S_102_Bodkhe"
"shannon",1.72638730439578,0.0377667214691139,38,1.77992283063161,0.20817070009199,21,1.62951349501667,0.385454490303738,-0.110722907765993,0.0771564728191162,0.156836411953949,"ns","16S_102_Bodkhe"
"fisher",1.82713323241978,0.0533941966064174,38,1.91605662544225,0.352768221669379,21,1.66622423552199,0.464070637556412,-0.139179278239195,0.0940946834974382,0.144706270148479,"ns","16S_102_Bodkhe"
"bulla",0.545671134310511,0.0134561252014701,38,0.560171555656845,0.0819275118130063,21,0.519432276636193,0.132063618776118,-0.036305915697955,0.0288554595967972,0.213540540221703,"ns","16S_102_Bodkhe"
"simpson",0.332336383878336,0.0166620717321184,38,0.335320871645967,0.144832755433413,21,0.326935882203576,0.0929916802945493,-0.0298416001652603,0.0345695428649083,0.391691023454612,"ns","16S_102_Bodkhe"
"dominance",0.244522722622533,0.0200966029658867,38,0.222873567218652,0.121855262134646,21,0.283697384781936,0.197814946891447,0.0534360938858271,0.0430586523266185,0.219776808374153,"ns","16S_102_Bodkhe"
"rare_abundance",0.00527445756535055,0.000550309675591309,38,0.00614464497868365,0.0044112108469072,21,0.00369983272217638,0.00343149531956535,-0.00172295237301507,0.00108898817173502,0.119245306007507,"ns","16S_102_Bodkhe"
